seed_url,display_name,doi,title,venue,year,provenance,verified
https://github.com/google-deepmind/alphafold,AlphaFold 2,10.1038/s41586-021-03819-2,Highly accurate protein structure prediction with AlphaFold,Nature,2021,ai-agent (managed by caviri),NO
https://github.com/google-deepmind/alphafold,AlphaFold 2,10.1093/nar/gkab1061,AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space,Nucleic Acids Research,2022,ai-agent (managed by caviri),NO
https://github.com/google-deepmind/alphafold,AlphaFold 2,10.1101/2021.10.04.463034,Protein complex prediction with AlphaFold-Multimer,bioRxiv,2021,ai-agent (managed by caviri),NO
https://github.com/RosettaCommons/RoseTTAFold,RoseTTAFold,10.1126/science.abj8754,Accurate prediction of protein structures and interactions using a three-track neural network,Science,2021,ai-agent (managed by caviri),NO
https://github.com/RosettaCommons/RoseTTAFold,RoseTTAFold,10.1126/science.adl2528,Generalized biomolecular modeling and design with RoseTTAFold All-Atom,Science,2024,ai-agent (managed by caviri),NO
https://github.com/aqlaboratory/openfold,OpenFold,10.1038/s41592-024-02272-z,OpenFold: retraining AlphaFold2 yields new insights into its learning mechanisms and capacity for generalization,Nature Methods,2024,ai-agent (managed by caviri),NO
https://github.com/HeliXonProtein/OmegaFold,OmegaFold,10.1101/2022.07.21.500999,High-resolution de novo structure prediction from primary sequence (OmegaFold),bioRxiv,2022,ai-agent (managed by caviri),NO
https://github.com/google-deepmind/alphafold3,AlphaFold 3,10.1038/s41586-024-07487-w,Accurate structure prediction of biomolecular interactions with AlphaFold3,Nature,2024,ai-agent (managed by caviri),NO
https://github.com/chaidiscovery/chai-lab,Chai-1,10.1101/2024.10.10.615955,Chai-1: Decoding the molecular interactions of life,bioRxiv,2024,ai-agent (managed by caviri),NO
https://github.com/jwohlwend/boltz,Boltz-2,10.1101/2024.11.19.624167,Boltz-1: Democratizing Biomolecular Interaction Modeling,bioRxiv,2024,ai-agent (managed by caviri),NO
https://github.com/facebookresearch/esm,ESM2 / ESMFold,10.1126/science.ade2574,Evolutionary-scale prediction of atomic-level protein structure with a language model (ESM-2 / ESMFold),Science,2023,ai-agent (managed by caviri),NO
https://github.com/facebookresearch/esm,ESM2 / ESMFold,10.1073/pnas.2016239118,Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences (ESM-1b),PNAS,2021,ai-agent (managed by caviri),NO
https://github.com/evolutionaryscale/esm,ESM3,10.1126/science.ads0018,Simulating 500 million years of evolution with a language model (ESM3),Science,2025,ai-agent (managed by caviri),NO
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,10.1038/s41586-023-06415-8,De novo design of protein structure and function with RFdiffusion,Nature,2023,ai-agent (managed by caviri),NO
https://github.com/RosettaCommons/RFdiffusion,RFdiffusion,10.1038/s41586-021-04184-w,De novo protein design by deep network hallucination (trRosetta — Baker-lab predecessor),Nature,2021,ai-agent (managed by caviri),NO
https://github.com/baker-laboratory/rf_diffusion_all_atom,RFdiffusion All-Atom,10.1126/science.adl2528,Generalized biomolecular modeling and design with RoseTTAFold All-Atom,Science,2024,ai-agent (managed by caviri),NO
https://github.com/dauparas/ProteinMPNN,ProteinMPNN,10.1126/science.add2187,Robust deep learning-based protein sequence design using ProteinMPNN,Science,2022,ai-agent (managed by caviri),NO
https://github.com/generatebio/chroma,Chroma,10.1038/s41586-023-06728-8,Illuminating protein space with a programmable generative model (Chroma),Nature,2023,ai-agent (managed by caviri),NO
https://github.com/ProteinDesignLab/protpardelle,Protpardelle,10.1073/pnas.2311500121,An all-atom protein generative model (Protpardelle),PNAS,2024,ai-agent (managed by caviri),NO
https://github.com/jasonkyuyim/se3_diffusion,FrameDiff,10.48550/arXiv.2302.02277,SE(3) diffusion model with application to protein backbone generation (FrameDiff),ICML / arXiv,2023,ai-agent (managed by caviri),NO
https://github.com/sokrypton/ColabDesign,ColabDesign,10.1038/s41592-022-01488-1,ColabFold: making protein folding accessible to all (foundational method by the same author; ColabDesign has no standalone paper),Nature Methods,2022,ai-agent (managed by caviri),NO
https://github.com/NatLabRockies/EvoProtGrad,EvoProtGrad,10.1088/2632-2153/accacd,Plug & play directed evolution of proteins with gradient-based discrete MCMC (EvoProtGrad),Mach. Learn.: Sci. Technol.,2023,ai-agent (managed by caviri),NO
https://github.com/RosettaCommons/protein_generator,ProteinGenerator,10.1038/s41587-024-02395-w,Multistate and functional protein design using RoseTTAFold sequence space diffusion (ProteinGenerator),Nature Biotechnology,2024,ai-agent (managed by caviri),NO
https://github.com/RosettaCommons/PyRosetta.notebooks,PyRosetta,10.1093/bioinformatics/btq007,PyRosetta: a script-based interface for implementing molecular modeling algorithms using Rosetta,Bioinformatics,2010,ai-agent (managed by caviri),NO
https://github.com/biopython/biopython,Biopython,10.1093/bioinformatics/btp163,Biopython: freely available Python tools for computational molecular biology and bioinformatics,Bioinformatics,2009,ai-agent (managed by caviri),NO
